08.10.2022 - 20:14: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 20:14: 	Читаем данные из файла 	- data.csv
08.10.2022 - 20:15: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 20:15: 	Пользователь вышел 	- THE END
08.10.2022 - 20:17: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 20:17: 	Поиск нужных данных по запросу [Дав] 	- data.csv
08.10.2022 - 20:17: 	Пользователь выбрал операцию 	- 🚀 CONTINUE
08.10.2022 - 20:17: 	Пользователь выбрал операцию 	- 📔 ADD
08.10.2022 - 20:17: 	Пользователь добавил данные 	- ['Анна', 'Аветян', '89453647523', 'Мама']
08.10.2022 - 20:17: 	Записываем данные в файл 	- data.csv
08.10.2022 - 20:18: 	Пользователь выбрал операцию 	- 🚀 CONTINUE
08.10.2022 - 20:18: 	Пользователь выбрал операцию 	- 🕵‍♂ SEARCH
08.10.2022 - 20:18: 	Поиск нужных данных по запросу [Анна] 	- data.csv
08.10.2022 - 20:18: 	Пользователь выбрал операцию 	- 🚪 EXIT
08.10.2022 - 20:18: 	Пользователь вышел 	- THE END
08.10.2022 - 20:22: 	Пользователь выбрал операцию 	- 📚 VIEW ALL
08.10.2022 - 20:22: 	Читаем данные из файла 	- data.csv
